xt,yt,zt
0.000000, 0.000000, -0.000000
-0.022981, -0.006638, 0.001324
-0.411928, 0.052132, -0.003245
-0.432204, 0.053045, -0.004956
-0.402009, 0.053662, -0.011370
0.023471, -0.009769, -0.030789
0.074328, -0.023321, -0.031651
0.111826, -0.027196, -0.029729
0.127897, -0.012832, -0.038152
-0.471854, 0.024631, -0.034668
0.056890, 0.014228, -0.106066
0.101570, 0.008879, -0.104508
0.061259, 0.006980, -0.093877
-0.026875, 0.014903, -0.084613
-0.191816, 0.213664, -0.033130
-0.205144, -0.115383, -0.117320
-0.215509, -0.184389, -0.133898
-0.218076, -0.214744, -0.144958
-0.194594, 0.183172, -0.045924
-0.177471, 0.248427, -0.040317
-0.176165, 0.263288, -0.039162
-0.217327, -0.163894, -0.144605
-0.200807, -0.050885, -0.115306
-0.170991, 0.155235, -0.080387
-0.177037, 0.118391, -0.094701
-0.178489, 0.104674, -0.106944
-0.183555, 0.097929, -0.104313
